CodigoNacional;Fecha;TnAM;FechaHora
330020;31-12-2019;13.9;2019-12-31 06:40
330020;30-12-2019;14.0;2019-12-30 07:02
330020;29-12-2019;15.4;2019-12-29 06:09
330020;28-12-2019;13.1;2019-12-28 05:52
330020;27-12-2019;13.2;2019-12-27 06:39
330020;26-12-2019;12.9;2019-12-26 05:48
330020;25-12-2019;14.6;2019-12-25 07:11
330020;24-12-2019;14.9;2019-12-24 06:57
330020;23-12-2019;14.9;2019-12-23 07:08
330020;22-12-2019;12.6;2019-12-22 06:47
330020;21-12-2019;14.7;2019-12-21 07:00
330020;20-12-2019;12.4;2019-12-20 06:17
330020;19-12-2019;16.8;2019-12-19 06:38
330020;18-12-2019;13.7;2019-12-18 06:07
330020;17-12-2019;12.5;2019-12-17 06:57
330020;16-12-2019;11.3;2019-12-16 07:05
330020;15-12-2019;10.5;2019-12-15 06:29
330020;14-12-2019;14.2;2019-12-14 06:23
330020;13-12-2019;12.5;2019-12-13 06:49
330020;12-12-2019;11.6;2019-12-12 06:33
330020;11-12-2019;11.0;2019-12-11 06:27
330020;10-12-2019;11.1;2019-12-10 06:29
330020;09-12-2019;10.9;2019-12-09 06:44
330020;08-12-2019;9.7;2019-12-08 06:23
330020;07-12-2019;9.5;2019-12-07 07:42
330020;06-12-2019;12.4;2019-12-06 06:13
330020;05-12-2019;10.8;2019-12-05 06:10
330020;04-12-2019;11.2;2019-12-04 06:09
330020;03-12-2019;12.9;2019-12-03 06:03
330020;02-12-2019;11.3;2019-12-02 06:48
330020;01-12-2019;12.6;2019-12-01 05:58
330020;30-11-2019;10.0;2019-11-30 06:40
330020;29-11-2019;10.0;2019-11-29 06:39
330020;28-11-2019;9.7;2019-11-28 05:33
330020;27-11-2019;7.8;2019-11-27 05:37
330020;26-11-2019;6.5;2019-11-26 06:36
330020;25-11-2019;13.1;2019-11-25 07:26
330020;24-11-2019;10.5;2019-11-24 04:19
330020;23-11-2019;12.3;2019-11-23 06:23
330020;22-11-2019;12.0;2019-11-22 06:22
330020;21-11-2019;13.9;2019-11-21 04:39
330020;20-11-2019;12.5;2019-11-20 06:39
330020;19-11-2019;11.9;2019-11-19 06:31
330020;18-11-2019;12.2;2019-11-18 05:44
330020;17-11-2019;11.1;2019-11-17 06:59
330020;16-11-2019;15.1;2019-11-16 05:49
330020;15-11-2019;12.8;2019-11-15 06:47
330020;14-11-2019;13.9;2019-11-14 06:21
330020;13-11-2019;11.1;2019-11-13 06:29
330020;12-11-2019;11.0;2019-11-12 05:39
330020;11-11-2019;12.7;2019-11-11 05:47
330020;10-11-2019;11.8;2019-11-10 06:24
330020;09-11-2019;10.0;2019-11-09 06:31
330020;08-11-2019;13.6;2019-11-08 06:10
330020;07-11-2019;10.1;2019-11-07 06:39
330020;06-11-2019;9.1;2019-11-06 06:15
330020;05-11-2019;7.9;2019-11-05 06:08
330020;04-11-2019;8.0;2019-11-04 04:20
330020;03-11-2019;9.0;2019-11-03 06:40
330020;02-11-2019;6.5;2019-11-02 06:49
330020;01-11-2019;6.2;2019-11-01 06:52
330020;31-10-2019;9.2;2019-10-31 06:59
330020;30-10-2019;5.4;2019-10-30 06:37
330020;29-10-2019;5.1;2019-10-29 06:33
330020;28-10-2019;8.9;2019-10-28 08:07
330020;27-10-2019;9.9;2019-10-27 05:56
330020;26-10-2019;10.3;2019-10-26 06:09
330020;25-10-2019;7.8;2019-10-25 06:21
330020;24-10-2019;10.5;2019-10-24 07:21
330020;23-10-2019;7.1;2019-10-23 06:51
330020;22-10-2019;7.1;2019-10-22 07:15
330020;21-10-2019;5.5;2019-10-21 06:39
330020;20-10-2019;8.4;2019-10-20 05:30
330020;19-10-2019;7.7;2019-10-19 07:08
330020;18-10-2019;7.7;2019-10-18 06:40
330020;17-10-2019;9.5;2019-10-17 05:54
330020;16-10-2019;9.5;2019-10-16 07:18
330020;15-10-2019;6.3;2019-10-15 07:26
330020;14-10-2019;11.2;2019-10-14 05:17
330020;13-10-2019;11.1;2019-10-13 06:56
330020;12-10-2019;10.4;2019-10-12 03:14
330020;11-10-2019;11.9;2019-10-11 06:23
330020;10-10-2019;10.7;2019-10-10 07:03
330020;09-10-2019;13.2;2019-10-09 07:12
330020;08-10-2019;9.3;2019-10-08 07:07
330020;07-10-2019;8.1;2019-10-07 06:55
330020;06-10-2019;5.2;2019-10-06 06:25
330020;05-10-2019;2.8;2019-10-05 07:24
330020;04-10-2019;2.1;2019-10-04 06:59
330020;03-10-2019;3.2;2019-10-03 07:26
330020;02-10-2019;2.1;2019-10-02 07:30
330020;01-10-2019;6.7;2019-10-01 08:08
330020;30-09-2019;9.4;2019-09-30 07:53
330020;29-09-2019;7.5;2019-09-29 07:37
330020;28-09-2019;4.9;2019-09-28 07:51
330020;27-09-2019;9.3;2019-09-27 08:11
330020;26-09-2019;8.4;2019-09-26 03:59
330020;25-09-2019;7.6;2019-09-25 08:37
330020;24-09-2019;6.4;2019-09-24 07:22
330020;23-09-2019;5.9;2019-09-23 05:18
330020;22-09-2019;5.0;2019-09-22 08:10
330020;21-09-2019;2.2;2019-09-21 07:47
330020;20-09-2019;2.0;2019-09-20 07:46
330020;19-09-2019;6.4;2019-09-19 05:14
330020;18-09-2019;3.7;2019-09-18 07:56
330020;17-09-2019;4.9;2019-09-17 06:21
330020;16-09-2019;4.5;2019-09-16 08:23
330020;15-09-2019;6.5;2019-09-15 00:58
330020;14-09-2019;7.7;2019-09-14 03:03
330020;13-09-2019;4.7;2019-09-13 07:58
330020;12-09-2019;3.2;2019-09-12 07:15
330020;11-09-2019;4.0;2019-09-11 07:21
330020;10-09-2019;3.5;2019-09-10 06:01
330020;09-09-2019;7.6;2019-09-09 01:29
330020;08-09-2019;6.5;2019-09-08 06:43
330020;07-09-2019;8.2;2019-09-07 06:34
330020;06-09-2019;8.8;2019-09-06 07:02
330020;05-09-2019;8.6;2019-09-05 04:36
330020;04-09-2019;7.7;2019-09-04 07:10
330020;03-09-2019;1.9;2019-09-03 07:20
330020;02-09-2019;1.9;2019-09-02 07:23
330020;01-09-2019;2.9;2019-09-01 07:11
330020;31-08-2019;3.9;2019-08-31 06:55
330020;30-08-2019;6.7;2019-08-30 06:27
330020;29-08-2019;8.8;2019-08-29 07:13
330020;28-08-2019;9.2;2019-08-28 06:31
330020;27-08-2019;6.9;2019-08-27 07:34
330020;26-08-2019;8.5;2019-08-26 02:47
330020;25-08-2019;10.4;2019-08-24 23:17
330020;24-08-2019;9.4;2019-08-24 02:29
330020;23-08-2019;7.0;2019-08-23 05:30
330020;22-08-2019;4.2;2019-08-22 07:08
330020;21-08-2019;6.3;2019-08-21 05:45
330020;20-08-2019;7.7;2019-08-20 07:15
330020;19-08-2019;6.8;2019-08-19 06:32
330020;18-08-2019;6.0;2019-08-18 01:03
330020;17-08-2019;1.9;2019-08-17 07:24
330020;16-08-2019;7.4;2019-08-16 05:50
330020;15-08-2019;5.1;2019-08-15 07:11
330020;14-08-2019;4.4;2019-08-14 07:08
330020;13-08-2019;0.0;2019-08-13 07:41
330020;12-08-2019;0.2;2019-08-12 07:14
330020;11-08-2019;1.9;2019-08-11 07:42
330020;10-08-2019;0.4;2019-08-10 06:50
330020;09-08-2019;-1.1;2019-08-09 06:49
330020;08-08-2019;-0.6;2019-08-08 06:38
330020;07-08-2019;2.5;2019-08-07 06:34
330020;06-08-2019;5.5;2019-08-06 07:26
330020;05-08-2019;4.0;2019-08-05 07:25
330020;04-08-2019;2.8;2019-08-04 07:22
330020;03-08-2019;0.8;2019-08-03 06:41
330020;02-08-2019;-0.5;2019-08-02 07:07
330020;01-08-2019;1.8;2019-08-01 06:59
330020;31-07-2019;7.3;2019-07-31 06:56
330020;30-07-2019;7.0;2019-07-30 07:37
330020;29-07-2019;8.2;2019-07-29 07:59
330020;28-07-2019;2.6;2019-07-28 07:19
330020;27-07-2019;4.1;2019-07-27 00:01
330020;26-07-2019;2.9;2019-07-26 02:07
330020;25-07-2019;3.4;2019-07-25 01:18
330020;24-07-2019;-1.1;2019-07-24 07:00
330020;23-07-2019;-1.6;2019-07-23 06:59
330020;22-07-2019;1.5;2019-07-22 00:41
330020;21-07-2019;6.8;2019-07-21 02:32
330020;20-07-2019;5.2;2019-07-20 07:58
330020;19-07-2019;3.4;2019-07-19 07:17
330020;18-07-2019;5.0;2019-07-17 23:49
330020;17-07-2019;2.7;2019-07-17 05:01
330020;16-07-2019;1.3;2019-07-16 07:41
330020;15-07-2019;0.2;2019-07-15 06:37
330020;14-07-2019;0.8;2019-07-14 04:36
330020;13-07-2019;0.7;2019-07-13 07:04
330020;12-07-2019;4.2;2019-07-11 23:56
330020;11-07-2019;3.6;2019-07-11 06:51
330020;10-07-2019;2.5;2019-07-10 05:41
330020;09-07-2019;6.9;2019-07-09 07:17
330020;08-07-2019;6.4;2019-07-08 05:23
330020;07-07-2019;6.6;2019-07-07 05:33
330020;06-07-2019;4.0;2019-07-06 07:38
330020;05-07-2019;1.1;2019-07-05 07:20
330020;04-07-2019;0.6;2019-07-04 06:43
330020;03-07-2019;-0.4;2019-07-03 07:32
330020;02-07-2019;-0.2;2019-07-02 07:36
330020;01-07-2019;-0.5;2019-07-01 06:21
330020;30-06-2019;2.7;2019-06-30 00:59
330020;29-06-2019;4.8;2019-06-29 00:00
330020;28-06-2019;4.9;2019-06-28 04:47
330020;27-06-2019;5.3;2019-06-27 06:51
330020;26-06-2019;0.9;2019-06-25 22:46
330020;25-06-2019;-0.9;2019-06-25 05:51
330020;24-06-2019;8.2;2019-06-24 05:53
330020;23-06-2019;6.7;2019-06-23 04:09
330020;22-06-2019;2.6;2019-06-22 07:50
330020;21-06-2019;5.4;2019-06-21 00:12
330020;20-06-2019;4.1;2019-06-20 07:19
330020;19-06-2019;0.1;2019-06-19 07:06
330020;18-06-2019;0.6;2019-06-18 07:45
330020;17-06-2019;1.2;2019-06-17 04:08
330020;16-06-2019;1.3;2019-06-16 07:00
330020;15-06-2019;5.3;2019-06-15 07:50
330020;14-06-2019;2.9;2019-06-14 06:46
330020;13-06-2019;6.8;2019-06-13 07:40
330020;12-06-2019;1.8;2019-06-12 06:54
330020;11-06-2019;6.9;2019-06-11 06:43
330020;10-06-2019;4.4;2019-06-10 04:35
330020;09-06-2019;0.6;2019-06-09 07:48
330020;08-06-2019;0.6;2019-06-08 06:44
330020;07-06-2019;2.2;2019-06-07 07:36
330020;06-06-2019;9.9;2019-06-06 00:41
330020;05-06-2019;4.3;2019-06-05 07:18
330020;04-06-2019;6.3;2019-06-04 06:33
330020;03-06-2019;1.6;2019-06-03 07:16
330020;02-06-2019;3.9;2019-06-02 07:46
