CodigoNacional;Fecha;TnAM;FechaHora
330020;31-12-2018;12.0;2018-12-31 07:00
330020;30-12-2018;10.8;2018-12-30 07:01
330020;29-12-2018;12.3;2018-12-29 07:05
330020;28-12-2018;12.8;2018-12-28 07:08
330020;27-12-2018;12.8;2018-12-27 06:55
330020;26-12-2018;12.5;2018-12-26 07:13
330020;25-12-2018;13.6;2018-12-25 06:51
330020;24-12-2018;14.0;2018-12-24 06:53
330020;23-12-2018;11.4;2018-12-23 06:31
330020;22-12-2018;11.2;2018-12-22 06:54
330020;21-12-2018;11.6;2018-12-21 06:41
330020;20-12-2018;10.0;2018-12-20 07:03
330020;19-12-2018;13.2;2018-12-19 07:03
330020;18-12-2018;12.7;2018-12-18 06:29
330020;17-12-2018;12.6;2018-12-17 06:47
330020;16-12-2018;11.0;2018-12-16 06:57
330020;15-12-2018;9.8;2018-12-15 06:21
330020;14-12-2018;8.0;2018-12-14 07:03
330020;13-12-2018;9.8;2018-12-13 06:34
330020;12-12-2018;12.5;2018-12-12 06:44
330020;11-12-2018;11.6;2018-12-11 06:28
330020;10-12-2018;10.9;2018-12-10 05:43
330020;09-12-2018;9.2;2018-12-09 06:55
330020;08-12-2018;11.6;2018-12-08 05:50
330020;07-12-2018;11.6;2018-12-07 06:13
330020;06-12-2018;11.9;2018-12-06 06:38
330020;05-12-2018;12.0;2018-12-05 07:08
330020;04-12-2018;12.6;2018-12-04 07:03
330020;03-12-2018;11.8;2018-12-03 05:41
330020;02-12-2018;13.5;2018-12-02 06:41
330020;01-12-2018;12.2;2018-12-01 06:30
330020;30-11-2018;11.0;2018-11-30 06:11
330020;29-11-2018;10.1;2018-11-29 06:50
330020;28-11-2018;11.9;2018-11-28 06:33
330020;27-11-2018;9.9;2018-11-27 06:36
330020;26-11-2018;11.4;2018-11-26 06:29
330020;25-11-2018;14.6;2018-11-25 06:52
330020;24-11-2018;12.4;2018-11-24 06:19
330020;23-11-2018;15.0;2018-11-23 06:41
330020;22-11-2018;12.7;2018-11-22 05:31
330020;21-11-2018;11.6;2018-11-21 06:48
330020;20-11-2018;12.1;2018-11-20 06:49
330020;19-11-2018;11.2;2018-11-19 06:42
330020;18-11-2018;9.5;2018-11-18 06:47
330020;17-11-2018;10.7;2018-11-17 07:23
330020;16-11-2018;11.0;2018-11-16 07:10
330020;15-11-2018;9.2;2018-11-15 06:46
330020;14-11-2018;6.7;2018-11-14 06:47
330020;13-11-2018;8.0;2018-11-13 07:01
330020;12-11-2018;12.6;2018-11-12 02:00
330020;11-11-2018;13.6;2018-11-11 04:59
330020;10-11-2018;8.0;2018-11-10 05:41
330020;09-11-2018;11.1;2018-11-09 06:48
330020;08-11-2018;12.4;2018-11-08 07:15
330020;07-11-2018;11.6;2018-11-07 06:54
330020;06-11-2018;9.8;2018-11-06 07:17
330020;05-11-2018;8.6;2018-11-05 05:43
330020;04-11-2018;7.8;2018-11-04 06:32
330020;03-11-2018;8.2;2018-11-03 06:46
