CodigoNacional;Fecha;TxPM;FechaHora
330020;31-12-2018;32.2;2018-12-31 17:13
330020;30-12-2018;31.7;2018-12-30 17:07
330020;29-12-2018;28.8;2018-12-29 16:31
330020;28-12-2018;31.2;2018-12-28 16:05
330020;27-12-2018;30.4;2018-12-27 16:35
330020;26-12-2018;29.3;2018-12-26 15:00
330020;25-12-2018;31.0;2018-12-25 17:17
330020;24-12-2018;33.4;2018-12-24 15:13
330020;23-12-2018;32.5;2018-12-23 17:44
330020;22-12-2018;26.4;2018-12-22 17:28
330020;21-12-2018;31.7;2018-12-21 16:41
330020;20-12-2018;29.8;2018-12-20 16:56
330020;19-12-2018;29.4;2018-12-19 13:28
330020;18-12-2018;32.2;2018-12-18 16:14
330020;17-12-2018;30.1;2018-12-17 16:09
330020;16-12-2018;32.0;2018-12-16 16:30
330020;15-12-2018;30.1;2018-12-15 16:27
330020;14-12-2018;25.5;2018-12-14 17:02
330020;13-12-2018;24.3;2018-12-13 16:25
330020;12-12-2018;30.7;2018-12-12 15:34
330020;11-12-2018;29.2;2018-12-11 16:24
330020;10-12-2018;29.1;2018-12-10 15:16
330020;09-12-2018;30.6;2018-12-09 16:46
330020;08-12-2018;25.7;2018-12-08 17:26
330020;07-12-2018;26.0;2018-12-07 15:15
330020;06-12-2018;30.7;2018-12-06 15:32
330020;05-12-2018;27.9;2018-12-05 16:25
330020;04-12-2018;19.3;2018-12-04 18:05
330020;03-12-2018;26.1;2018-12-03 14:42
330020;02-12-2018;27.8;2018-12-02 14:32
330020;01-12-2018;29.8;2018-12-01 16:13
330020;30-11-2018;27.7;2018-11-30 16:59
330020;29-11-2018;27.0;2018-11-29 15:55
330020;28-11-2018;28.1;2018-11-28 15:37
330020;27-11-2018;31.2;2018-11-27 17:01
330020;26-11-2018;29.5;2018-11-26 15:56
330020;25-11-2018;31.2;2018-11-25 16:02
330020;24-11-2018;31.9;2018-11-24 16:12
330020;23-11-2018;30.6;2018-11-23 16:43
330020;22-11-2018;30.5;2018-11-22 16:06
330020;21-11-2018;30.1;2018-11-21 15:31
330020;20-11-2018;32.3;2018-11-20 15:28
330020;19-11-2018;32.6;2018-11-19 16:17
330020;18-11-2018;31.9;2018-11-18 17:15
330020;17-11-2018;24.6;2018-11-17 18:00
330020;16-11-2018;28.3;2018-11-16 14:19
330020;15-11-2018;29.7;2018-11-15 16:41
330020;14-11-2018;29.0;2018-11-14 16:22
330020;13-11-2018;20.9;2018-11-13 13:41
330020;12-11-2018;18.9;2018-11-12 16:34
330020;11-11-2018;24.8;2018-11-11 16:25
330020;10-11-2018;25.2;2018-11-10 11:43
330020;09-11-2018;30.0;2018-11-09 14:01
330020;08-11-2018;32.1;2018-11-08 15:36
330020;07-11-2018;34.5;2018-11-07 16:29
330020;06-11-2018;32.6;2018-11-06 15:05
330020;05-11-2018;29.7;2018-11-05 17:06
330020;04-11-2018;26.3;2018-11-04 17:12
330020;03-11-2018;26.7;2018-11-03 15:01
330020;02-11-2018;23.8;2018-11-02 15:33
330020;01-11-2018;20.9;2018-11-01 15:55
330020;31-10-2018;26.0;2018-10-31 16:20
330020;30-10-2018;24.1;2018-10-30 15:31
330020;29-10-2018;23.4;2018-10-29 14:43
330020;28-10-2018;25.4;2018-10-28 15:05
330020;27-10-2018;27.6;2018-10-27 17:55
330020;26-10-2018;28.2;2018-10-26 16:15
330020;25-10-2018;22.3;2018-10-25 15:36
330020;24-10-2018;23.6;2018-10-24 15:54
330020;23-10-2018;24.5;2018-10-23 13:18
330020;22-10-2018;26.3;2018-10-22 17:57
330020;21-10-2018;25.1;2018-10-21 15:48
330020;20-10-2018;23.9;2018-10-20 16:18
330020;19-10-2018;23.5;2018-10-19 14:34
330020;18-10-2018;24.3;2018-10-18 16:40
330020;17-10-2018;19.9;2018-10-17 16:39
330020;16-10-2018;13.9;2018-10-16 16:06
330020;15-10-2018;23.6;2018-10-15 15:39
330020;14-10-2018;23.4;2018-10-14 16:18
330020;13-10-2018;19.3;2018-10-13 17:21
330020;12-10-2018;17.1;2018-10-12 16:16
330020;11-10-2018;20.7;2018-10-11 15:36
330020;10-10-2018;19.2;2018-10-10 15:09
330020;09-10-2018;20.1;2018-10-09 16:00
330020;08-10-2018;18.9;2018-10-08 16:43
330020;07-10-2018;19.6;2018-10-07 11:57
330020;06-10-2018;27.8;2018-10-06 15:40
330020;05-10-2018;24.9;2018-10-05 14:47
330020;04-10-2018;28.9;2018-10-04 14:43
330020;03-10-2018;27.6;2018-10-03 16:51
330020;02-10-2018;23.3;2018-10-02 16:30
330020;01-10-2018;20.2;2018-10-01 16:49
330020;30-09-2018;12.3;2018-09-30 18:09
330020;29-09-2018;15.5;2018-09-29 16:27
330020;28-09-2018;17.9;2018-09-28 16:54
330020;27-09-2018;17.8;2018-09-27 16:54
330020;26-09-2018;19.3;2018-09-26 12:51
330020;25-09-2018;20.4;2018-09-25 15:49
330020;24-09-2018;19.1;2018-09-24 15:58
330020;23-09-2018;21.3;2018-09-23 17:10
330020;22-09-2018;21.8;2018-09-22 15:40
330020;21-09-2018;27.4;2018-09-21 17:13
330020;20-09-2018;18.7;2018-09-20 18:02
330020;19-09-2018;15.8;2018-09-19 17:04
330020;18-09-2018;16.2;2018-09-18 11:42
330020;17-09-2018;18.4;2018-09-17 16:30
330020;16-09-2018;20.2;2018-09-16 16:38
330020;15-09-2018;10.4;2018-09-15 12:57
330020;14-09-2018;16.9;2018-09-14 15:32
330020;13-09-2018;21.7;2018-09-13 14:57
330020;12-09-2018;20.1;2018-09-12 17:16
330020;11-09-2018;22.9;2018-09-11 16:32
330020;10-09-2018;28.5;2018-09-10 15:49
330020;09-09-2018;25.2;2018-09-09 15:24
330020;08-09-2018;25.1;2018-09-08 16:36
330020;07-09-2018;22.5;2018-09-07 15:43
330020;06-09-2018;22.2;2018-09-06 17:16
330020;05-09-2018;17.8;2018-09-05 15:17
330020;04-09-2018;31.3;2018-09-04 15:29
330020;03-09-2018;29.0;2018-09-03 18:00
330020;02-09-2018;23.7;2018-09-02 16:51
330020;01-09-2018;19.7;2018-09-01 16:56
330020;31-08-2018;13.5;2018-08-31 16:39
330020;30-08-2018;17.9;2018-08-30 16:22
330020;29-08-2018;20.2;2018-08-29 16:23
330020;28-08-2018;19.1;2018-08-28 16:33
330020;27-08-2018;16.1;2018-08-27 15:09
