CodigoNacional;Fecha;TxPM;FechaHora
330020;31-12-2016;27.4;2016-12-31 15:59
330020;30-12-2016;28.8;2016-12-30 14:57
330020;29-12-2016;26.3;2016-12-29 16:27
330020;28-12-2016;32.1;2016-12-28 16:05
330020;27-12-2016;32.8;2016-12-27 17:37
330020;26-12-2016;23.5;2016-12-26 17:07
330020;25-12-2016;25.7;2016-12-25 15:44
330020;24-12-2016;28.6;2016-12-24 15:49
330020;23-12-2016;29.9;2016-12-23 16:24
330020;22-12-2016;29.3;2016-12-22 16:00
330020;21-12-2016;30.3;2016-12-21 16:29
330020;20-12-2016;29.6;2016-12-20 14:41
330020;19-12-2016;33.8;2016-12-19 15:46
330020;18-12-2016;31.9;2016-12-18 17:57
330020;17-12-2016;27.9;2016-12-17 15:44
330020;16-12-2016;28.1;2016-12-16 18:01
330020;15-12-2016;30.6;2016-12-15 16:09
330020;14-12-2016;37.3;2016-12-14 16:03
330020;13-12-2016;33.7;2016-12-13 15:53
330020;12-12-2016;31.2;2016-12-12 16:41
330020;11-12-2016;31.3;2016-12-11 17:55
330020;10-12-2016;28.1;2016-12-10 17:57
330020;09-12-2016;16.0;2016-12-09 14:01
330020;08-12-2016;26.8;2016-12-08 15:42
330020;07-12-2016;27.8;2016-12-07 15:50
330020;06-12-2016;30.2;2016-12-06 15:42
330020;05-12-2016;28.0;2016-12-05 16:49
330020;04-12-2016;23.8;2016-12-04 15:48
330020;03-12-2016;29.2;2016-12-03 14:19
330020;02-12-2016;30.7;2016-12-02 16:07
330020;01-12-2016;30.1;2016-12-01 16:06
330020;30-11-2016;29.0;2016-11-30 15:56
330020;29-11-2016;34.8;2016-11-29 15:27
330020;28-11-2016;32.5;2016-11-28 17:09
330020;27-11-2016;26.0;2016-11-27 15:47
330020;26-11-2016;26.4;2016-11-26 16:58
330020;25-11-2016;23.1;2016-11-25 17:24
330020;24-11-2016;30.4;2016-11-24 17:20
330020;23-11-2016;21.5;2016-11-23 12:02
330020;22-11-2016;25.2;2016-11-22 15:06
330020;21-11-2016;26.8;2016-11-21 15:11
330020;20-11-2016;23.7;2016-11-20 15:35
330020;19-11-2016;27.9;2016-11-19 15:35
330020;18-11-2016;31.3;2016-11-18 13:12
330020;17-11-2016;34.6;2016-11-17 17:21
330020;16-11-2016;29.2;2016-11-16 15:25
330020;15-11-2016;28.8;2016-11-15 17:01
330020;14-11-2016;27.7;2016-11-14 15:23
330020;13-11-2016;26.3;2016-11-13 15:24
330020;12-11-2016;27.1;2016-11-12 13:26
330020;11-11-2016;30.9;2016-11-11 15:45
330020;10-11-2016;31.6;2016-11-10 15:38
330020;09-11-2016;30.7;2016-11-09 16:25
330020;08-11-2016;29.1;2016-11-08 14:50
330020;07-11-2016;32.5;2016-11-07 15:05
330020;06-11-2016;30.3;2016-11-06 14:58
330020;05-11-2016;31.2;2016-11-05 16:12
330020;04-11-2016;34.0;2016-11-04 15:53
330020;03-11-2016;31.8;2016-11-03 15:14
330020;02-11-2016;26.8;2016-11-02 17:18
330020;01-11-2016;21.5;2016-11-01 17:22
330020;31-10-2016;19.7;2016-10-31 13:18
330020;30-10-2016;24.8;2016-10-30 17:29
330020;29-10-2016;25.9;2016-10-29 17:49
330020;28-10-2016;20.2;2016-10-28 14:16
330020;27-10-2016;31.6;2016-10-27 14:42
330020;26-10-2016;31.2;2016-10-26 17:17
330020;25-10-2016;25.9;2016-10-25 17:10
330020;24-10-2016;21.9;2016-10-24 15:22
330020;23-10-2016;21.4;2016-10-23 15:05
330020;22-10-2016;20.7;2016-10-22 14:27
