CodigoNacional;Fecha;TxPM;FechaHora
330020;31-12-2017;28.4;2017-12-31 15:18
330020;30-12-2017;31.9;2017-12-30 16:26
330020;29-12-2017;32.5;2017-12-29 16:58
330020;28-12-2017;33.1;2017-12-28 17:47
330020;27-12-2017;31.7;2017-12-27 15:50
330020;26-12-2017;30.8;2017-12-26 16:55
330020;25-12-2017;32.7;2017-12-25 16:01
330020;24-12-2017;31.8;2017-12-24 16:27
330020;23-12-2017;31.1;2017-12-23 15:23
330020;22-12-2017;30.8;2017-12-22 16:21
330020;21-12-2017;32.0;2017-12-21 16:40
330020;20-12-2017;31.0;2017-12-20 16:46
330020;19-12-2017;32.4;2017-12-19 16:18
330020;18-12-2017;29.3;2017-12-18 15:14
330020;17-12-2017;32.1;2017-12-17 16:25
330020;16-12-2017;28.7;2017-12-16 14:57
330020;15-12-2017;34.5;2017-12-15 16:48
330020;14-12-2017;33.2;2017-12-14 17:02
330020;13-12-2017;29.0;2017-12-13 17:14
330020;12-12-2017;25.1;2017-12-12 17:19
330020;11-12-2017;26.2;2017-12-11 16:42
330020;10-12-2017;34.1;2017-12-10 15:08
330020;09-12-2017;32.2;2017-12-09 16:30
330020;08-12-2017;26.8;2017-12-08 16:20
330020;07-12-2017;29.4;2017-12-07 15:13
330020;06-12-2017;28.1;2017-12-06 17:02
330020;05-12-2017;27.5;2017-12-05 16:28
330020;04-12-2017;28.4;2017-12-04 15:36
330020;03-12-2017;26.9;2017-12-03 17:31
330020;02-12-2017;20.7;2017-12-02 15:31
330020;01-12-2017;27.0;2017-12-01 16:04
330020;30-11-2017;29.1;2017-11-30 15:25
330020;29-11-2017;24.6;2017-11-29 16:58
330020;28-11-2017;23.7;2017-11-28 15:54
330020;27-11-2017;29.2;2017-11-27 16:38
330020;26-11-2017;29.1;2017-11-26 15:38
330020;25-11-2017;32.0;2017-11-25 17:21
330020;24-11-2017;25.4;2017-11-24 16:54
330020;23-11-2017;30.4;2017-11-23 16:06
330020;22-11-2017;32.7;2017-11-22 16:19
330020;21-11-2017;30.4;2017-11-21 17:24
330020;20-11-2017;24.3;2017-11-20 16:41
330020;19-11-2017;30.2;2017-11-19 16:25
330020;18-11-2017;28.2;2017-11-18 16:15
330020;17-11-2017;27.4;2017-11-17 16:32
330020;16-11-2017;27.4;2017-11-16 15:47
330020;15-11-2017;25.8;2017-11-15 15:57
330020;14-11-2017;27.4;2017-11-14 13:55
330020;13-11-2017;28.4;2017-11-13 15:47
330020;12-11-2017;29.3;2017-11-12 15:58
330020;11-11-2017;33.0;2017-11-11 15:48
330020;10-11-2017;32.2;2017-11-10 16:53
330020;09-11-2017;28.4;2017-11-09 16:43
330020;08-11-2017;27.7;2017-11-08 16:45
330020;07-11-2017;23.4;2017-11-07 15:42
330020;06-11-2017;24.4;2017-11-06 14:07
330020;05-11-2017;28.1;2017-11-05 15:26
330020;04-11-2017;21.3;2017-11-04 15:15
330020;03-11-2017;24.0;2017-11-03 17:24
330020;02-11-2017;16.8;2017-11-02 10:54
330020;01-11-2017;16.8;2017-11-01 15:29
330020;31-10-2017;21.1;2017-10-31 14:44
330020;30-10-2017;24.1;2017-10-30 16:42
330020;29-10-2017;18.8;2017-10-29 17:28
330020;28-10-2017;20.5;2017-10-28 15:51
330020;27-10-2017;26.6;2017-10-27 15:23
330020;26-10-2017;22.2;2017-10-26 16:03
330020;25-10-2017;26.2;2017-10-25 16:48
330020;24-10-2017;26.2;2017-10-24 16:32
330020;23-10-2017;27.9;2017-10-23 15:17
330020;22-10-2017;28.8;2017-10-22 15:52
330020;21-10-2017;28.3;2017-10-21 16:28
330020;20-10-2017;17.1;2017-10-20 11:57
330020;19-10-2017;28.6;2017-10-19 15:20
330020;18-10-2017;23.1;2017-10-18 17:01
330020;17-10-2017;22.0;2017-10-17 15:19
330020;16-10-2017;20.3;2017-10-16 16:24
330020;15-10-2017;25.2;2017-10-15 14:11
330020;14-10-2017;29.3;2017-10-14 16:23
330020;13-10-2017;23.9;2017-10-13 17:07
330020;12-10-2017;19.1;2017-10-12 16:37
330020;11-10-2017;16.6;2017-10-11 16:02
330020;10-10-2017;18.9;2017-10-10 16:56
330020;09-10-2017;21.5;2017-10-09 17:21
330020;08-10-2017;19.3;2017-10-08 17:12
330020;07-10-2017;18.9;2017-10-07 08:00
330020;06-10-2017;26.4;2017-10-06 16:45
330020;05-10-2017;19.1;2017-10-05 15:50
330020;04-10-2017;17.7;2017-10-04 15:15
330020;03-10-2017;27.5;2017-10-03 16:20
330020;02-10-2017;17.4;2017-10-02 16:25
330020;01-10-2017;17.6;2017-10-01 16:29
330020;30-09-2017;14.0;2017-09-30 08:12
330020;29-09-2017;23.9;2017-09-29 14:23
330020;28-09-2017;22.6;2017-09-28 17:06
330020;27-09-2017;24.8;2017-09-27 14:08
330020;26-09-2017;23.6;2017-09-26 17:53
330020;25-09-2017;24.9;2017-09-25 16:31
330020;24-09-2017;22.1;2017-09-24 15:09
330020;23-09-2017;29.0;2017-09-23 14:49
