CodigoNacional;Fecha;TxPM;FechaHora
330020;31-12-2022;20.0;2022-12-31 15:52
330020;30-12-2022;27.7;2022-12-30 16:00
330020;29-12-2022;34.4;2022-12-29 15:57
330020;28-12-2022;32.2;2022-12-28 16:00
330020;27-12-2022;30.5;2022-12-27 17:37
330020;26-12-2022;27.0;2022-12-26 18:30
330020;25-12-2022;28.8;2022-12-25 14:44
330020;24-12-2022;32.4;2022-12-24 17:11
330020;23-12-2022;29.5;2022-12-23 16:56
330020;22-12-2022;30.4;2022-12-22 16:31
330020;21-12-2022;33.0;2022-12-21 16:19
330020;20-12-2022;31.0;2022-12-20 15:55
330020;19-12-2022;28.5;2022-12-19 17:13
330020;18-12-2022;31.7;2022-12-18 16:26
330020;17-12-2022;26.9;2022-12-17 14:17
330020;16-12-2022;30.3;2022-12-16 13:33
330020;15-12-2022;36.7;2022-12-15 16:37
330020;14-12-2022;31.4;2022-12-14 16:12
330020;13-12-2022;33.7;2022-12-13 14:45
330020;12-12-2022;32.6;2022-12-12 16:57
330020;11-12-2022;35.7;2022-12-11 17:36
330020;10-12-2022;34.4;2022-12-10 17:16
330020;09-12-2022;32.5;2022-12-09 16:33
330020;08-12-2022;33.2;2022-12-08 16:02
330020;07-12-2022;32.6;2022-12-07 15:58
330020;06-12-2022;34.0;2022-12-06 16:14
330020;05-12-2022;32.7;2022-12-05 16:30
330020;04-12-2022;33.6;2022-12-04 16:50
330020;03-12-2022;31.3;2022-12-03 16:12
330020;02-12-2022;30.3;2022-12-02 15:24
330020;01-12-2022;28.7;2022-12-01 17:20
330020;30-11-2022;25.9;2022-11-30 15:46
330020;29-11-2022;25.4;2022-11-29 16:09
330020;28-11-2022;27.6;2022-11-28 15:35
330020;27-11-2022;28.1;2022-11-27 16:58
330020;26-11-2022;33.9;2022-11-26 13:27
330020;25-11-2022;32.7;2022-11-25 14:43
330020;24-11-2022;29.8;2022-11-24 14:46
330020;23-11-2022;32.2;2022-11-23 16:27
330020;22-11-2022;33.0;2022-11-22 15:47
330020;21-11-2022;32.2;2022-11-21 16:17
330020;20-11-2022;29.4;2022-11-20 15:48
330020;19-11-2022;29.3;2022-11-19 16:37
330020;18-11-2022;31.2;2022-11-18 17:10
330020;17-11-2022;31.8;2022-11-17 15:30
330020;16-11-2022;31.9;2022-11-16 16:52
330020;15-11-2022;33.5;2022-11-15 15:43
330020;14-11-2022;30.1;2022-11-14 16:09
330020;13-11-2022;24.6;2022-11-13 17:44
330020;12-11-2022;19.8;2022-11-12 14:44
330020;11-11-2022;20.2;2022-11-11 14:08
330020;10-11-2022;23.7;2022-11-10 16:35
330020;09-11-2022;19.9;2022-11-09 18:34
330020;08-11-2022;20.7;2022-11-08 11:31
330020;07-11-2022;30.5;2022-11-07 15:05
330020;06-11-2022;28.9;2022-11-06 16:38
330020;05-11-2022;25.8;2022-11-05 16:07
330020;04-11-2022;23.5;2022-11-04 13:47
330020;03-11-2022;28.2;2022-11-03 14:16
330020;02-11-2022;31.1;2022-11-02 15:58
330020;01-11-2022;32.5;2022-11-01 15:08
330020;31-10-2022;29.6;2022-10-31 17:19
330020;30-10-2022;20.4;2022-10-30 18:02
330020;29-10-2022;28.4;2022-10-29 16:06
330020;28-10-2022;26.4;2022-10-28 15:05
330020;27-10-2022;27.8;2022-10-27 15:13
330020;26-10-2022;25.9;2022-10-26 16:44
330020;25-10-2022;22.1;2022-10-25 14:27
330020;24-10-2022;27.3;2022-10-24 16:05
330020;23-10-2022;24.2;2022-10-23 15:16
330020;22-10-2022;28.3;2022-10-22 15:12
330020;21-10-2022;26.9;2022-10-21 15:42
330020;20-10-2022;27.5;2022-10-20 15:45
330020;19-10-2022;22.2;2022-10-19 17:56
330020;18-10-2022;22.0;2022-10-18 16:22
330020;17-10-2022;21.8;2022-10-17 15:49
330020;16-10-2022;28.0;2022-10-16 15:28
330020;15-10-2022;29.5;2022-10-15 15:59
330020;14-10-2022;27.5;2022-10-14 16:18
330020;13-10-2022;25.4;2022-10-13 16:46
330020;12-10-2022;24.6;2022-10-12 16:35
330020;11-10-2022;23.0;2022-10-11 16:50
330020;10-10-2022;22.1;2022-10-10 16:16
330020;09-10-2022;26.9;2022-10-09 16:09
330020;08-10-2022;22.4;2022-10-08 16:06
330020;07-10-2022;27.1;2022-10-07 14:37
330020;06-10-2022;23.5;2022-10-06 16:24
330020;05-10-2022;18.2;2022-10-05 17:27
330020;04-10-2022;18.9;2022-10-04 15:16
330020;03-10-2022;15.6;2022-10-03 17:40
330020;02-10-2022;26.8;2022-10-02 14:40
330020;01-10-2022;26.3;2022-10-01 16:28
330020;30-09-2022;25.6;2022-09-30 15:28
330020;29-09-2022;20.9;2022-09-29 15:30
330020;28-09-2022;22.0;2022-09-28 15:17
330020;27-09-2022;23.2;2022-09-27 15:50
330020;26-09-2022;19.4;2022-09-26 16:05
330020;25-09-2022;19.5;2022-09-25 16:05
330020;24-09-2022;14.6;2022-09-24 21:00
330020;23-09-2022;21.2;2022-09-23 15:45
330020;22-09-2022;23.7;2022-09-22 16:34
330020;21-09-2022;17.0;2022-09-21 16:01
330020;20-09-2022;14.0;2022-09-20 16:33
