anio;mes;region;comuna;tipo_clientes;tarifa;clientes_facturados;e1_kwh;e2_kwh;energia_kwh;fecha;temperatura_promedio_c;temperatura_maxima_c;temperatura_minima_c;indice_pobreza_pct;ingreso_promedio;poblacion_urbana_pct
2015;1;Región Metropolitana de Santiago;Pedro Aguirre Cerda;No Residencial;BT2PPP;13.0;234736.0;0.0;234736;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;11.128775834658189;272635.24976815423;100.0
2015;1;Región Metropolitana de Santiago;Pedro Aguirre Cerda;No Residencial;BT4.1;4.0;2620.0;0.0;2620;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;11.128775834658189;272635.24976815423;100.0
2015;1;Región Metropolitana de Santiago;Peñaflor;No Residencial;AT2PP;4.0;7774.0;0.0;7774;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;6.237424547283702;396330.6735395189;85.71428571428571
2015;1;Región Metropolitana de Santiago;Pedro Aguirre Cerda;Residencial;BT1A;28139.0;6381068.0;283.0;6381351;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;11.128775834658189;272635.24976815423;100.0
2015;1;Región Metropolitana de Santiago;Pedro Aguirre Cerda;No Residencial;BT4.3;77.0;307078.0;0.0;307078;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;11.128775834658189;272635.24976815423;100.0
2015;1;Región Metropolitana de Santiago;Pedro Aguirre Cerda;No Residencial;BT2PP;68.0;37778.0;0.0;37778;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;11.128775834658189;272635.24976815423;100.0
2015;1;Región Metropolitana de Santiago;Paine;No Residencial;BT4.3;71.0;147950.0;0.0;147950;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;7.650273224043716;282625.52742616035;84.97267759562843
2015;1;Región Metropolitana de Santiago;Paine;No Residencial;BT4.2;3.0;1453.0;0.0;1453;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;7.650273224043716;282625.52742616035;84.97267759562843
2015;1;Región Metropolitana de Santiago;Paine;No Residencial;BT4.1;1.0;1990.0;0.0;1990;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;7.650273224043716;282625.52742616035;84.97267759562843
2015;1;Región Metropolitana de Santiago;Paine;Residencial;BT1A;17382.0;4271958.0;0.0;4271958;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;7.650273224043716;282625.52742616035;84.97267759562843
2015;1;Región Metropolitana de Santiago;Pedro Aguirre Cerda;No Residencial;AT4.3;29.0;1083805.0;0.0;1083805;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;11.128775834658189;272635.24976815423;100.0
2015;1;Región Metropolitana de Santiago;Pedro Aguirre Cerda;No Residencial;AT3PPP;4.0;35440.0;0.0;35440;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;11.128775834658189;272635.24976815423;100.0
2015;1;Región Metropolitana de Santiago;Pedro Aguirre Cerda;No Residencial;AT3PP;8.0;127200.0;0.0;127200;2015-01-01;22.259963768115945;31.41935483870968;13.793548387096775;11.128775834658189;272635.24976815423;100.0
